code,industri,sub-industri
SCNP,Barang Rumah Tangga,Peralatan Rumah Tangga
SCPI,Farmasi,Farmasi
SDMU,Logistik & Pengantaran,Logistik & Pengantaran
SDPC,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan
SDRA,Bank,Bank
SFAN,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
SGER,Batu Bara,Distribusi Batu Bara
SGRO,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
SHID,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
SHIP,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
SIDO,Farmasi,Farmasi
SILO,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
SIMA,Wadah & Kemasan,Wadah & Kemasan
SIMP,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
SINI,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
SIPD,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
SKBM,Makanan Olahan,Makanan Olahan
SKLT,Makanan Olahan,Makanan Olahan
SKRN,Mesin,Mesin Konstruksi & Kendaraan Berat
SKYB,Perangkat Lunak,Perangkat Lunak
SLIS,Ritel Khusus,Ritel Elektronik
SMAR,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
SMBR,Material Konstruksi,Material Konstruksi
SMCB,Material Konstruksi,Material Konstruksi
SMDM,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
SMDR,Logistik & Pengantaran,Logistik & Pengantaran
SMGR,Material Konstruksi,Material Konstruksi
SMKL,Wadah & Kemasan,Wadah & Kemasan
SMMA,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
SMMT,Batu Bara,Produksi Batu Bara
SMRA,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
SMRU,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
SMSM,Komponen Otomotif,Suku Cadang Otomotif
SNLK,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
SOCI,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
SOFA,Barang Rumah Tangga,Produsen Furnitur Rumah
SOHO,Farmasi,Farmasi
SONA,Department Store,Department Store
SOSS,Jasa Profesional,Jasa Personalia
SOTS,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
SPMA,Wadah & Kemasan,Wadah & Kemasan
SPTO,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
SQMI,Logam & Mineral,Emas
SRAJ,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
SRIL,Pakaian & Barang Mewah,Tekstil
SRSN,Barang Kimia,Barang Kimia Dasar
SRTG,Perusahaan Holding & Investasi,Perusahaan Investasi
SSIA,Konstruksi Bangunan,Konstruksi Bangunan
SSMS,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
SSTM,Pakaian & Barang Mewah,Tekstil
STAR,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
STTP,Makanan Olahan,Makanan Olahan
SUGI,Minyak & Gas,Produksi & Penyulingan Minyak & Gas
SULI,Perhutanan & Kertas,Kayu
SUPR,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
SURE,Minyak & Gas,Produksi & Penyulingan Minyak & Gas
SWAT,Perhutanan & Kertas,Kertas
TALF,Wadah & Kemasan,Wadah & Kemasan
TAMA,Konstruksi Bangunan,Konstruksi Bangunan
TAMU,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
TAPG,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
TARA,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
TAXI,Pengangkutan Darat Penumpang,Transportasi Jalanan
TAYS,Makanan Olahan,Makanan Olahan
TBIG,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
TBLA,Makanan Olahan,Makanan Olahan
TEBE,Batu Bara,Distribusi Batu Bara
TECH,Jasa & Konsultan TI,Jasa & Konsultan TI
TELE,Ritel Khusus,Ritel Elektronik
TFAS,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
TFCO,Pakaian & Barang Mewah,Tekstil
TGKA,Makanan Olahan,Makanan Olahan
TGRA,Utilitas Listrik,Utilitas Listrik
TIFA,Pembiayaan Konsumen,Pembiayaan Konsumen
TINS,Logam & Mineral,Logam & Mineral Lainnya
TIRA,Perdagangan Aneka Barang Perindustrian,Perdagangan Aneka Barang Perindustrian
TIRT,Perhutanan & Kertas,Kayu
TKIM,Perhutanan & Kertas,Kertas
TLKM,Jasa Telekomunikasi,Jasa Telekomunikasi Terintegrasi
TMAS,Logistik & Pengantaran,Logistik & Pengantaran
TMPO,Media,Penerbitan
TNCA,Logistik & Pengantaran,Logistik & Pengantaran
TOBA,Batu Bara,Produksi Batu Bara
TOPS,Konstruksi Bangunan,Konstruksi Bangunan
TOTL,Konstruksi Bangunan,Konstruksi Bangunan
TOTO,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
TOWR,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
TOYS,Peralatan Olah Raga & Barang Hobi,Peralatan Olah Raga & Barang Hobi
TPIA,Barang Kimia,Barang Kimia Dasar
TPMA,Batu Bara,Distribusi Batu Bara
TRAM,Batu Bara,Produksi Batu Bara
TRIL,Perdagangan Aneka Barang Perindustrian,Perdagangan Aneka Barang Perindustrian
TRIM,Jasa Investasi,Bank Investasi & Perantara Perdagangan
TRIN,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
TRIO,Ritel Khusus,Ritel Elektronik
TRIS,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas"
TRJA,Pengangkutan Darat Penumpang,Transportasi Jalanan
TRUE,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
TRUK,Logistik & Pengantaran,Logistik & Pengantaran
TRUS,Pembiayaan Konsumen,Pembiayaan Konsumen
TSPC,Farmasi,Farmasi
TUGU,Asuransi,Asuransi Umum
TURI,Ritel Khusus,Ritel Otomotif
UANG,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
UCID,Produk Perawatan Tubuh,Produk Perawatan Tubuh
UFOE,Ritel Khusus,Ritel Elektronik
ULTJ,Makanan Olahan,Produk Susu Olahan
UNIC,Barang Kimia,Barang Kimia Dasar
UNIQ,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
UNIT,Pakaian & Barang Mewah,Tekstil
UNSP,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
UNTR,Mesin,Mesin Konstruksi & Kendaraan Berat
UNVR,Produk Perawatan Tubuh,Produk Perawatan Tubuh
URBN,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
UVCR,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
VICI,Produk Perawatan Tubuh,Produk Perawatan Tubuh
VICO,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
VINS,Asuransi,Asuransi Umum
